filename;mzmine_sample_type;run_date;correct_name;Date_exp;Plant_species;Exposure_time;Treatment;Wet_weight;Quantity_for_extraction;;;Survival
20260202_Elena_sample_PF3.1c.mzML;sample;2026-02-03T03:31:26;20260202_Elena_sample_PF3.1c.mzML;15.01.2026;M. aquaticum;120h;Control;132.5;11;;7;1
20260202_Elena_sample_PF3.2a.mzML;sample;2026-02-03T08:10:37;20260202_Elena_sample_PF3.2a.mzML;03.10.2025;M. aquaticum;120h;Control;139.6;14;;3;0
20260202_Elena_sample_PF4.2a.mzML;sample;2026-02-03T08:31:44;20260202_Elena_sample_PF4.2a.mzML;03.10.2025;M. aquaticum;120h;Control;126.3;13;;6;1
20260202_Elena_sample_PF3.2c.mzML;sample;2026-02-03T03:42:01;20260202_Elena_sample_PF3.2c.mzML;15.01.2026;M. aquaticum;120h;Control;142.6;12;;8;1
20260202_Elena_sample_PF4.1a.mzML;sample;2026-02-03T08:21:10;20260202_Elena_sample_PF4.1a.mzML;03.10.2025;M. aquaticum;120h;Control;139.1;10;;7;0
20260202_Elena_sample_PF5.1a.mzML;sample;2026-02-03T08:42:18;20260202_Elena_sample_PF5.1a.mzML;03.10.2025;M. aquaticum;120h;Control;152.6;13;;5;0
20260202_Elena_sample_PF4.1c.mzML;sample;2026-02-03T03:52:37;20260202_Elena_sample_PF4.1c.mzML;15.01.2026;M. aquaticum;120h;Control;134.8;7;;9;1
20260202_Elena_sample_PF4.2c.mzML;sample;2026-02-03T04:03:11;20260202_Elena_sample_PF4.2c.mzML;15.01.2026;M. aquaticum;120h;Control;152.1;8;;6;1
20260202_Elena_sample_PF5.1c.mzML;sample;2026-02-03T04:13:44;20260202_Elena_sample_PF5.1c.mzML;15.01.2026;M. aquaticum;120h;Control;193;7;;;1
20260202_Elena_sample_PF5.2a.mzML;sample;2026-02-03T08:52:51;20260202_Elena_sample_PF5.2a.mzML;03.10.2025;M. aquaticum;120h;Control;127.3;12;;;1
20260202_Elena_sample_PF6.2a.mzML;sample;2026-02-03T09:16:06;20260202_Elena_sample_PF6.2a.mzML;03.10.2025;M. aquaticum;120h;Control;142.8;6;;5;0
20260202_Elena_sample_PF5.2c.mzML;sample;2026-02-03T04:24:20;20260202_Elena_sample_PF5.2c.mzML;15.01.2026;M. aquaticum;120h;Control;207;8;;;1
20260202_Elena_sample_PF6.1a.mzML;sample;2026-02-03T09:05:31;20260202_Elena_sample_PF6.1a.mzML;03.10.2025;M. aquaticum;120h;Control;144.8;8;;7;1
20260202_Elena_sample_PF6.1c.mzML;sample;2026-02-03T04:47:35;20260202_Elena_sample_PF6.1c.mzML;15.01.2026;M. aquaticum;120h;Control;162;6;;;1
20260202_Elena_sample_PF6.2c.mzML;sample;2026-02-03T04:58:10;20260202_Elena_sample_PF6.2c.mzML;15.01.2026;M. aquaticum;120h;Control;135.8;12;;;1
20260202_Elena_sample_PF7.1c.mzML;sample;2026-02-03T05:08:45;20260202_Elena_sample_PF7.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;169.4;10;;6;0
20260202_Elena_sample_PF7.2c.mzML;sample;2026-02-03T05:19:20;20260202_Elena_sample_PF7.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;119.1;10;;3;1
20260202_Elena_sample_PF8.1c.mzML;sample;2026-02-03T05:29:53;20260202_Elena_sample_PF8.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;154.9;11;;3;1
20260202_Elena_sample_PF8.2c.mzML;sample;2026-02-03T05:40:28;20260202_Elena_sample_PF8.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;133.2;14;;8;1
20260202_Elena_sample_PF9.2c.mzML;sample;2026-02-03T06:01:35;20260202_Elena_sample_PF9.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;164.8;10;;9;1
20260202_Elena_sample_PF9.1c.mzML;sample;2026-02-03T05:51:01;20260202_Elena_sample_PF9.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;133.5;10;;1;1
20260202_Elena_sample_PF10.1c.mzML;sample;2026-02-03T06:12:10;20260202_Elena_sample_PF10.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;173;2;;;1
20260202_Elena_sample_PF11.2c.mzML;sample;2026-02-03T06:43:55;20260202_Elena_sample_PF11.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;133.1;14;;1;1
20260202_Elena_sample_PF12.1c.mzML;sample;2026-02-03T06:56:35;20260202_Elena_sample_PF12.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;181;5;;;0
20260202_Elena_sample_PF11.1c.mzML;sample;2026-02-03T06:33:20;20260202_Elena_sample_PF11.1c.mzML;15.01.2026;M. aquaticum;120h;Induced;151.5;11;;1;1
20260202_Elena_sample_PF10.2c.mzML;sample;2026-02-03T06:22:45;20260202_Elena_sample_PF10.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;172.1;9;;;1
20260202_Elena_sample_PF12.2c.mzML;sample;2026-02-03T07:07:10;20260202_Elena_sample_PF12.2c.mzML;15.01.2026;M. aquaticum;120h;Induced;89.9;14;;8;1
20260203_Elena_sample_LG1.2.mzML;sample;2026-02-04T06:38:24;20260202_Elena_sample_LG1.2.mzML;07.11.2025;L. grandiflora;120h;Control;212.7;9;;6;0
20260203_Elena_QC_D3_1.mzML;qc;2026-02-04T03:36:20;;;;;;;;;;
20260203_Elena_sample_LG2.1.mzML;sample;2026-02-04T06:48:59;20260202_Elena_sample_LG2.1.mzML;07.11.2025;L. grandiflora;120h;Control;160.2;13;;2;0
20260203_Elena_sample_LG1.1.mzML;sample;2026-02-04T06:27:47;20260202_Elena_sample_LG1.1.mzML;07.11.2025;L. grandiflora;120h;Control;317.2;10;;6;0
20260203_Elena_QC_D3_2.mzML;qc;2026-02-04T07:31:20;;;;;;;;;;
20260203_Elena_sample_LG3.1.mzML;sample;2026-02-04T07:10:07;20260202_Elena_sample_LG3.1.mzML;07.11.2025;L. grandiflora;120h;Control;177;4;;;0
20260203_Elena_sample_LG2.2.mzML;sample;2026-02-04T06:59:33;20260202_Elena_sample_LG2.2.mzML;07.11.2025;L. grandiflora;120h;Control;536.6;10;;4;0
20260203_Elena_sample_LG3.2.mzML;sample;2026-02-04T07:20:43;20260202_Elena_sample_LG3.2.mzML;07.11.2025;L. grandiflora;120h;Control;342.4;13;;;0
20260203_Elena_sample_LG4.1.mzML;sample;2026-02-04T07:41:54;20260202_Elena_sample_LG4.1.mzML;07.11.2025;L. grandiflora;120h;Control;329.1;12;;;0
20260203_Elena_sample_LG5.1.mzML;sample;2026-02-04T08:05:09;20260202_Elena_sample_LG5.1.mzML;07.11.2025;L. grandiflora;120h;Control;191.7;11;;9;1
20260203_Elena_sample_LG4.2.mzML;sample;2026-02-04T07:54:36;20260202_Elena_sample_LG4.2.mzML;07.11.2025;L. grandiflora;120h;Control;351;4;;;1
20260203_Elena_sample_LG6.1.mzML;sample;2026-02-04T08:26:21;20260202_Elena_sample_LG6.1.mzML;07.11.2025;L. grandiflora;120h;Control;198.7;13;;4;0
20260203_Elena_sample_LG5.2.mzML;sample;2026-02-04T08:15:44;20260202_Elena_sample_LG5.2.mzML;07.11.2025;L. grandiflora;120h;Control;253.1;11;;1;0
20260203_Elena_sample_LG6.2.mzML;sample;2026-02-04T08:36:56;20260202_Elena_sample_LG6.2.mzML;07.11.2025;L. grandiflora;120h;Control;235.1;15;;3;0
20260203_Elena_sample_LG7.1.mzML;sample;2026-02-04T08:47:33;20260202_Elena_sample_LG7.1.mzML;07.11.2025;L. grandiflora;120h;Induced;430.9;13;;1;0
20260203_Elena_sample_LG7.2.mzML;sample;2026-02-04T08:58:09;20260202_Elena_sample_LG7.2.mzML;07.11.2025;L. grandiflora;120h;Induced;219.1;12;;1;0
20260203_Elena_sample_LG8.1.mzML;sample;2026-02-04T09:08:43;20260202_Elena_sample_LG8.1.mzML;07.11.2025;L. grandiflora;120h;Induced;285.2;12;;6;1
20260203_Elena_sample_LG8.2.mzML;sample;2026-02-04T09:19:18;20260202_Elena_sample_LG8.2.mzML;07.11.2025;L. grandiflora;120h;Induced;376.9;11;;5;0
20260203_Elena_sample_LG9.2.mzML;sample;2026-02-04T09:40:28;20260202_Elena_sample_LG9.2.mzML;07.11.2025;L. grandiflora;120h;Induced;188.2;10;;7;0
20260203_Elena_sample_LG10.1.mzML;sample;2026-02-04T09:51:03;20260202_Elena_sample_LG10.1.mzML;07.11.2025;L. grandiflora;120h;Induced;404.9;10;;4;0
20260203_Elena_sample_LG9.1.mzML;sample;2026-02-04T09:29:53;20260202_Elena_sample_LG9.1.mzML;07.11.2025;L. grandiflora;120h;Induced;187.1;13;;3;0
20260203_Elena_sample_LR5.2.mzML;sample;2026-02-04T03:46:55;20260202_Elena_sample_LR5.2.mzML;07.11.2025;L. repens;120h;Control;242.7;10;;8;0
20260203_Elena_sample_LG10.2.mzML;sample;2026-02-04T10:03:47;20260202_Elena_sample_LG10.2.mzML;07.11.2025;L. grandiflora;120h;Induced;302.6;10;;3;0
20260203_Elena_sample_LR6.2.mzML;sample;2026-02-04T04:08:08;20260202_Elena_sample_LR6.2.mzML;07.11.2025;L. repens;120h;Control;192.7;11;;3;0
20260203_Elena_sample_LR6.1.mzML;sample;2026-02-04T03:57:32;20260202_Elena_sample_LR6.1.mzML;07.11.2025;L. repens;120h;Control;185.1;10;;2;0
20260203_Elena_sample_LR7.1.mzML;sample;2026-02-04T04:18:42;20260202_Elena_sample_LR7.1.mzML;07.11.2025;L. repens;120h;Induced;191.4;10;;7;0
20260203_Elena_sample_LR7.2.mzML;sample;2026-02-04T04:29:18;20260202_Elena_sample_LR7.2.mzML;07.11.2025;L. repens;120h;Induced;184.7;14;;2;0
20260203_Elena_sample_LR8.1.mzML;sample;2026-02-04T04:39:55;20260202_Elena_sample_LR8.1.mzML;07.11.2025;L. repens;120h;Induced;191.9;12;;7;1
20260203_Elena_sample_LR8.2.mzML;sample;2026-02-04T04:50:29;20260202_Elena_sample_LR8.2.mzML;07.11.2025;L. repens;120h;Induced;144.2;12;;7;0
20260203_Elena_sample_LR9.1.mzML;sample;2026-02-04T05:01:02;20260202_Elena_sample_LR9.1.mzML;07.11.2025;L. repens;120h;Induced;192;4;;;0
20260203_Elena_sample_LR9.2.mzML;sample;2026-02-04T05:11:37;20260202_Elena_sample_LR9.2.mzML;07.11.2025;L. repens;120h;Induced;160;10;;;1
20260203_Elena_sample_LR11.1.mzML;sample;2026-02-04T05:45:29;20260202_Elena_sample_LR11.1.mzML;07.11.2025;L. repens;120h;Induced;207.9;13;;2;0
20260203_Elena_sample_LR10.1.mzML;sample;2026-02-04T05:22:12;20260202_Elena_sample_LR10.1.mzML;07.11.2025;L. repens;120h;Induced;229.2;11;;5;0
20260204_Elena_QC_1.mzML;qc;2026-02-04T10:16:28;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.2;29.08.2025;M. verticillatum;72h;Induced;336;3;11;;
20260203_Elena_sample_LR10.2.mzML;sample;2026-02-04T05:32:47;20260202_Elena_sample_LR10.2.mzML;07.11.2025;L. repens;120h;Induced;216.5;10;;;1
20260203_Elena_sample_LR11.2.mzML;sample;2026-02-04T05:56:03;20260202_Elena_sample_LR11.2.mzML;07.11.2025;L. repens;120h;Induced;222.2;12;;8;0
20260203_Elena_sample_LR12.1.mzML;sample;2026-02-04T06:06:38;20260202_Elena_sample_LR12.1.mzML;07.11.2025;L. repens;120h;Induced;206.9;11;;;0
20260203_Elena_sample_LR12.2.mzML;sample;2026-02-04T06:17:13;20260202_Elena_sample_LR12.2.mzML;07.11.2025;L. repens;120h;Induced;213.4;11;;7;0
20260204_Elena_blank.mzML;blank;2026-02-04T19:58:17;;;;;;;;;;
20260204_Elena_QC_3.mzML;qc;2026-02-04T17:38:38;\2026\Rasmann\Elena\20260204_Elena_sample_MV10.2;29.08.2025;M. verticillatum;72h;Induced;336;3;11;;
